lat,lng,started_at,arrived_at,delivered_at
43.646236,-79.376349,2024-07-04 12:56:58,2024-07-05 15:47:32,2024-07-05 15:48:05
45.048557,-79.299200,2024-07-04 12:56:58,2024-07-05 20:13:18,2024-07-05 20:14:37
43.6127311,-80.1505436,2024-07-04 12:56:59,2024-07-05 15:36:01,2024-07-05 15:36:43
42.944559,-80.445568,2024-07-04 12:56:59,2024-07-05 17:21:05,2024-07-05 17:22:44
43.225277,-79.866498,2024-07-04 12:56:59,2024-07-05 15:33:25,2024-07-05 15:37:11
45.07569,-75.628941,2024-07-04 12:57:00,2024-07-05 13:38:20,2024-07-05 13:39:51
43.2172412,-80.3929747,2024-07-04 12:57:00,2024-07-05 18:13:39,2024-07-05 18:15:22
44.248866,-76.555952,2024-07-04 12:57:00,2024-07-05 18:50:47,2024-07-05 18:51:31
42.903878,-81.296396,2024-07-04 12:57:01,2024-07-05 19:47:43,2024-07-05 19:48:41
43.925620,-78.699461,2024-07-04 12:57:01,2024-07-05 16:31:06,2024-07-05 16:34:04
43.022326,-81.232945,2024-07-04 12:57:02,2024-07-05 20:57:53,2024-07-05 20:58:52
44.602579,-75.685545,2024-07-04 12:57:02,2024-07-05 16:37:35,2024-07-05 16:39:13
45.474965,-75.481829,2024-07-04 12:57:02,2024-07-05 13:37:32,2024-07-05 13:38:55
45.283683,-75.747406,2024-07-04 12:57:03,2024-07-05 17:52:36,2024-07-05 17:58:38
43.167263,-79.270942,2024-07-04 12:57:03,2024-07-05 15:26:17,2024-07-05 15:35:56
43.882447,-79.237415,2024-07-04 12:58:36,2024-07-04 23:40:27,2024-07-04 23:41:15
43.648277,-79.476942,2024-07-04 12:58:47,2024-07-05 18:12:03,2024-07-05 18:14:12
43.720735,-79.587826,2024-07-04 12:59:08,2024-07-04 22:21:49,2024-07-04 22:22:42
43.665284,-79.665423,2024-07-04 12:59:13,2024-07-04 20:30:58,2024-07-04 20:32:26
43.545722,-79.735416,2024-07-04 12:59:42,2024-07-04 23:39:44,2024-07-04 23:40:56
43.502676,-79.653463,2024-07-04 13:00:17,2024-07-04 22:55:43,2024-07-04 22:56:10
43.648703,-79.814578,2024-07-04 13:00:18,2024-07-04 23:50:59,2024-07-04 23:51:49
43.896660,-79.232768,2024-07-04 13:01:32,2024-07-04 22:49:36,2024-07-04 22:50:10
43.908580,-79.372603,2024-07-04 13:01:41,2024-07-04 21:54:04,2024-07-04 21:54:46
43.78722,-79.194677,2024-07-04 13:01:52,2024-07-05 00:42:40,2024-07-05 00:45:25
43.759431,-79.493924,2024-07-04 13:01:57,2024-07-04 20:08:32,2024-07-04 20:08:53
43.674211,-79.766155,2024-07-04 13:02:22,2024-07-04 22:43:50,2024-07-04 22:45:06
43.718057,-79.701242,2024-07-04 13:02:38,2024-07-04 21:18:36,2024-07-04 21:19:12
43.949091,-78.892984,2024-07-04 13:02:47,2024-07-04 22:45:55,2024-07-04 22:46:15
43.583404,-79.784513,2024-07-04 13:03:00,2024-07-05 01:23:03,2024-07-05 01:23:48
43.661835,-79.456798,2024-07-04 13:03:33,2024-07-04 22:00:12,2024-07-04 22:04:05
43.5944846,-79.5327128,2024-07-04 13:03:33,2024-07-05 00:30:34,2024-07-05 00:34:46
43.872992,-79.330731,2024-07-04 13:04:00,2024-07-04 23:16:46,2024-07-04 23:17:55
43.645112,-79.451443,2024-07-04 13:04:36,2024-07-04 20:39:47,2024-07-04 20:40:30
43.657297,-79.452427,2024-07-05 14:13:56,2024-07-05 21:01:40,2024-07-05 21:06:28
43.559493,-79.642261,2024-07-04 13:05:05,2024-07-04 23:33:52,2024-07-04 23:34:49
